route_id,airport,route_type,waypoints
HITUG SEEVR4,KDFW,ARRIVAL,"[(35.912572222222224, -95.48881388888888), (34.98881388888889, -95.31203611111111), (34.47033888888889, -95.24031388888889), (34.212186111111116, -95.4998638888889), (34.08999166666667, -95.62181388888888), (33.961650000000006, -95.74920555555556), (33.83304444444445, -95.87782499999999), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.287175, -96.56324722222222), (33.2743, -96.84026944444444), (32.897333333333336, -97.03769444444444)]"
HRPER3 HULZE,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.77548888888889, -97.080975), (32.76547222222222, -97.14125000000001), (32.77160277777778, -97.241325), (32.88948333333333, -97.733275), (33.05186388888889, -98.2306), (33.46291666666667, -99.516925), (33.65766388888889, -100.22169722222222)]"
HUDAD2 HUDAD,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.77548888888889, -97.080975), (32.76547222222222, -97.14125000000001), (32.77160277777778, -97.241325), (32.989894444444445, -97.733275), (33.17540277777778, -98.23015000000001), (33.614555555555555, -99.43211666666667)]"
JACKY8 BLECO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.45075, -97.10905277777778)]"
JACKY8 ROLLS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.722744444444444, -99.47069722222223)]"
JACKY8 ZEMMA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.38383611111111, -96.99002777777778)]"
JASPA6 WINDU,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.550916666666666, -96.99331666666667), (32.28503055555555, -97.05899166666666), (31.53053611111111, -97.08266666666667)]"
JPOOL1 ELLVR,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.708116666666665, -96.83791666666666)]"
JPOOL3 BILEE,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.164513888888887, -96.38156111111111)]"
JPOOL3 WINDU,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.53053611111111, -97.08266666666667)]"
KATZZ2 BRHMA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.707825, -97.05426666666666), (32.69102777777778, -97.13733333333334), (32.69800277777777, -97.25506388888888), (32.778238888888886, -97.73395000000001), (32.89347222222222, -98.22872222222223), (33.20102222222223, -99.59550555555555), (33.52147222222222, -101.04316944444444)]"
KEENE3 JASPA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.28503055555555, -97.05899166666666)]"
KIILO ZROBA1,KDFW,ARRIVAL,"[(32.15926666666667, -97.76236666666667), (32.23171111111111, -97.71394166666667), (32.382600000000004, -97.62483888888889), (32.50866944444444, -97.48109722222222), (32.58761666666667, -97.44898611111111), (32.897333333333336, -97.03769444444444)]"
KNEAD PAWLZ3,KDFW,ARRIVAL,"[(32.27934722222222, -97.48600277777778), (32.40929722222222, -97.36613888888888), (32.431488888888886, -97.28275277777777), (32.897333333333336, -97.03769444444444)]"
KNEAD TILLA3,KDFW,ARRIVAL,"[(32.27934722222222, -97.48600277777778), (32.34447222222222, -97.42458333333335), (32.43559722222222, -97.33814722222222), (32.60466666666667, -97.17739444444445), (32.897333333333336, -97.03769444444444)]"
KUSSO6 BSKAT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.04187222222222, -93.55983888888889)]"
KUSSO8 BSKAT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.04187222222222, -93.55983888888889)]"
KUSSO8 FORCK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.99653333333333, -94.26981666666667)]"
KUSSO8 LOOSE,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.89635555555555, -93.08566111111111)]"
KUSSO8 ZALEA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.21263888888889, -93.47646944444445)]"
LOWGN8 ROLLS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.45075, -97.24980277777777), (34.21158611111112, -97.16822777777779), (34.84133888888889, -98.10953333333333), (35.722744444444444, -99.47069722222223)]"
MDANO VKTRY2,KDFW,ARRIVAL,"[(34.32775555555556, -99.57689722222221), (33.89426388888889, -98.67405555555555), (33.825519444444446, -98.53434722222222), (33.639, -98.15341388888889), (33.513530555555555, -97.90135555555557), (33.384, -97.64171111111112), (33.271991666666665, -97.45990555555557), (33.11365277777778, -97.29380555555555), (33.06472222222222, -97.24319444444444), (33.00299444444445, -97.17941944444445), (32.897333333333336, -97.03769444444444)]"
MRSSH2 ZALEA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.21263888888889, -93.47646944444445)]"
PNUTS BEREE1,KDFW,ARRIVAL,"[(31.606538888888892, -93.5388611111111), (31.989641666666667, -95.09543333333333), (32.14586111111111, -95.75694444444444), (32.189836111111106, -95.94636666666668), (32.27708611111111, -96.32570555555556), (32.486666666666665, -96.56666666666666), (32.56666666666667, -96.65833333333335), (32.65833333333333, -96.76166666666667), (32.79333333333333, -96.915), (32.991166666666665, -96.91372777777778), (33.19608333333333, -96.91240833333335), (32.897333333333336, -97.03769444444444)]"
PNUTS WHINY4,KDFW,ARRIVAL,"[(31.606538888888892, -93.5388611111111), (31.989641666666667, -95.09543333333333), (32.095061111111114, -95.55899444444444), (32.14586111111111, -95.75694444444444), (32.27708611111111, -96.32570555555556), (32.319322222222226, -96.379375), (32.38506666666667, -96.4452), (32.49239166666667, -96.67379166666667), (32.499833333333335, -96.80053333333333), (32.897333333333336, -97.03769444444444)]"
PURRS CABBY2,KDFW,ARRIVAL,"[(32.17633333333333, -96.47626111111111), (32.284416666666665, -96.58295277777778), (32.338166666666666, -96.63570555555556), (32.45375, -96.74895833333333), (32.60769722222222, -96.90041111111111), (32.897333333333336, -97.03769444444444)]"
RRNET BRDJE3,KDFW,ARRIVAL,"[(34.822205555555556, -94.8820361111111), (34.47033888888889, -95.24031388888889), (34.212186111111116, -95.4998638888889), (34.08999166666667, -95.62181388888888), (33.76021111111111, -95.94912777777778), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.275, -96.49514722222223), (33.18119444444444, -96.6190111111111), (33.07370277777778, -96.76625833333334), (32.97284722222222, -96.90284444444445), (32.79675833333333, -96.91572500000001), (32.59395277777778, -96.91572500000001), (32.897333333333336, -97.03769444444444)]"
RRONY BRDJE3,KDFW,ARRIVAL,"[(33.581988888888894, -95.42515555555556), (33.52429722222222, -95.78193888888889), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.275, -96.49514722222223), (33.18119444444444, -96.6190111111111), (33.07370277777778, -96.76625833333334), (32.97284722222222, -96.90284444444445), (32.79675833333333, -96.91572500000001), (32.59395277777778, -96.91572500000001), (32.897333333333336, -97.03769444444444)]"
RRONY SEEVR4,KDFW,ARRIVAL,"[(33.581988888888894, -95.42515555555556), (33.54255555555555, -95.67125555555556), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.287175, -96.56324722222222), (33.2743, -96.84026944444444), (32.897333333333336, -97.03769444444444)]"
SASIE CAINE2,KDFW,ARRIVAL,"[(33.45016944444445, -96.59659444444443), (33.392466666666664, -96.65705277777778), (33.3046, -96.74897222222222), (33.15381111111111, -96.90592500000001), (32.897333333333336, -97.03769444444444)]"
SASIE DAWGZ2,KDFW,ARRIVAL,"[(33.45016944444445, -96.59659444444443), (33.392466666666664, -96.65705277777778), (33.358691666666665, -96.83908333333333), (32.897333333333336, -97.03769444444444)]"
SNGGL BOOVE5,KDFW,ARRIVAL,"[(32.325630555555556, -98.97429444444445), (32.342844444444445, -98.60182499999999), (32.35568055555556, -98.30755277777777), (32.37148888888889, -97.91293055555556), (32.382600000000004, -97.62483888888889), (32.434688888888886, -97.56551944444445), (32.57273888888889, -97.40781944444446), (32.668638888888886, -97.29787777777777), (32.781927777777774, -97.16772222222222), (32.99619166666667, -97.16507777777778), (33.197125, -97.16280555555556), (32.897333333333336, -97.03769444444444)]"
